id,workshop_use,source_language,source,target_language,target,english_support_note,suggested_accuracy_subtype,suggested_reason,gold_accuracy_subtype,gold_severity,gold_reason
WSLQA-PL-001,live_annotation,English,"Stainless steel water bottle, 750 ml",Polish,"Butelka ze stali nierdzewnej, 750 ml","Back-translation: Stainless steel water bottle, 750 ml.",none,The target appears to preserve the source meaning.,none,none,"The target preserves the product type, the material, and the volume."
WSLQA-PL-002,live_annotation,English,Set of 4 glasses,Polish,Zestaw 6 szklanek,Back-translation: Set of 6 glasses.,mistranslation,The quantity looks different.,mistranslation,major,"The target changes the quantity from 4 to 6, which could mislead the buyer."
WSLQA-PL-003,live_annotation,English,Wireless keyboard with backlight,Polish,Klawiatura bezprzewodowa,Back-translation: Wireless keyboard.,omission,The backlight feature seems to be missing.,omission,major,"The target omits the backlight feature, a meaningful product feature present in the source."
WSLQA-PL-004,prepared_gold,English,Coffee machine with filter,Polish,Ekspres do kawy z filtrem i termometrem,Back-translation: Coffee machine with filter and thermometer.,addition,The target seems to add a component.,addition,major,"The target adds a thermometer, a component not present in the source."
WSLQA-PL-005,prepared_gold,English,Battery charger with cable,Polish,Battery charger z kablem,"Back-translation: Battery charger with cable, with 'Battery charger' left in English.",untranslated,Part of the title remains in English.,untranslated,minor,"A translatable product phrase is left in English, but the core meaning is still understandable."
WSLQA-PL-006,live_annotation,English,RedFox backpack,Polish,Plecak CzerwonyLis,"Back-translation: RedFox backpack, with the brand rendered literally as Red-Fox.",mistranslation,The brand meaning looks changed.,unnecessarily_translated,major,The protected brand name RedFox is translated instead of remaining unchanged.
WSLQA-PL-007,live_annotation,English,"USB-C adapter, 5 V",Polish,"Adapter USB-C, 50 V","Back-translation: USB-C adapter, 50 V.",mistranslation,The voltage looks different.,mistranslation,critical,"The target states 50 V instead of 5 V, a tenfold voltage error that could damage devices or create a safety hazard."
WSLQA-PL-008,prepared_gold,English,"Vitamin C, 2 tablets per day",Polish,"Witamina C, 20 tabletek dziennie","Back-translation: Vitamin C, 20 tablets per day.",none,The target appears to preserve the source meaning.,mistranslation,critical,"The target states 20 tablets per day instead of 2, a tenfold dosage error with a health risk."
WSLQA-PL-009,live_annotation,English,"Glass bottle, 1,500 ml",Polish,"Szklana butelka, 1 500 ml","Back-translation: Glass bottle, 1,500 ml. NOTE: in Polish a space is the thousands separator, so 1 500 ml equals 1,500 ml.",mistranslation,The number formatting looks changed.,none,none,"The value is unchanged: Polish uses a space as the thousands separator, so 1 500 ml is identical to 1,500 ml."
WSLQA-PL-010,prepared_gold,English,Light blue cotton T-shirt,Polish,Niebieski bawełniany T-shirt,Back-translation: Blue cotton T-shirt.,omission,A shade detail seems to be missing.,omission,minor,"The target omits 'light', a low-impact colour detail."
WSLQA-PL-011,prepared_gold,English,"Body lotion, 200 ml",Polish,"Balsam i mydło do ciała, 200 ml","Back-translation: Body lotion and soap, 200 ml (mydło = soap).",addition,The target seems to add a product.,addition,major,"The target adds 'mydło' (soap), a second product not present in the source."
WSLQA-PL-012,prepared_gold,English,Box of 12 wax crayons,Polish,Opakowanie 12 kredek woskowych,Back-translation: Box of 12 wax crayons ('Box' rendered as 'Opakowanie').,mistranslation,'Box' is rendered as 'Opakowanie'.,none,none,"The target preserves quantity, product type, and material; 'Opakowanie' is an acceptable equivalent of 'Box'."
